spec_z,photo_z
0.5760666,0.56
0.4795873,0.47
0.48145217,0.45
0.48429847,0.48
0.076499656,0.05
0.359361,0.2
0.5180301,0.52
0.48160467,0.49
0.51217306,0.5
0.08016368,0.12
0.077790566,0.11
0.51525176,0.54
0.07604831,0.08
0.25913188,0.25
0.0768662,0.0999999999999999
0.6847042,0.67
0.5820957,0.5700000000000001
0.07936122,0.72
0.23823366,0.29
0.07747354,0.24
0.27804995,0.28
0.5161703,0.49
0.28482816,0.31
0.080235004,0.01
0.078246556,0.16
0.044228934,0.18
0.07851674,0.09
0.44704285,0.46
0.57387185,0.53
0.07826353,0.01
0.0787274,0.11
0.07652109,0.08
0.57996,0.5700000000000001
0.64979905,0.63
0.07721294,0.09
0.5751171,0.52
0.07987206,0.09
0.5272051,0.56
0.34795344,0.37
0.5238361,0.53
0.07984882,0.26
0.079281524,0.14
0.52255833,0.55
0.0792532,0.0699999999999999
0.078714006,0.08
0.07788393,0.13
0.07842165,0.03
0.3679759,0.38
0.70918834,0.5800000000000001
0.20386824,0.16
0.07873063,0.11
0.07829454,0.11
0.25922668,0.29
0.36572272,0.17
0.24720499,0.15
0.24761683,0.26
0.23079176,0.28
0.27672708,0.27
0.27837,0.2
0.26039916,0.35
0.32298,0.42
0.16255,0.15
0.68272,0.63
0.4628194,0.47
0.075225994,0.0999999999999999
0.075467706,0.0999999999999999
0.15359,0.16
0.39587384,0.36
0.51315004,0.47
0.4845466,0.5
0.26310542,0.27
0.46488762,0.46
0.46118972,0.46
0.56941,0.53
0.78293,0.74
0.049440727,0.08
0.076160625,0.09
0.08141803,0.09
0.68804,0.5800000000000001
0.51632,0.28
0.15191069,0.18
0.07498394,0.04
0.049528304,0.04
0.46295378,0.46
0.45885396,0.48
1.04463,0.75
0.050104033,0.0999999999999999
0.50458,0.44
0.69795,0.7100000000000001
0.2313,0.48
0.64360356,0.5800000000000001
0.3926521,0.49
0.062742814,0.06
0.6898937,0.66
0.64982,0.56
0.07606832,0.0699999999999999
0.07573583,0.12
0.5746048,0.54
0.6937,0.62
0.14131089,0.09
0.48006085,0.47
0.07520607,0.08
0.5158013,0.5
0.5161243,0.51
0.5689095,0.54
0.02951742,0.17
0.6492684,0.59
0.4234626,0.38
0.6460929,0.7000000000000001
0.17286222,0.5700000000000001
0.5573522,0.55
0.12728131,0.16
0.4623818,0.38
0.34094,0.42
0.93892,1.32
0.1292942,0.32
0.4608679,0.46
0.5136093,0.56
0.46083835,0.49
0.4603262,0.48
0.56739,0.2
1.17398,0.09
0.43751478,0.46
1.19982,0.44
0.07506958,0.0699999999999999
0.042437065,0.17
0.3400878,0.46
0.3377,0.31
0.64986044,0.63
0.54950345,0.53
0.54303,0.46
0.578385,0.53
0.5509427,0.4
0.06890932,0.17
0.06898516,0.16
0.029066999,0.14
0.23017165,0.49
0.500265,0.53
0.041522283,0.09
0.57300526,0.48
0.82778,0.7000000000000001
0.4881723,0.48
0.51724,0.44
0.8366,0.16
0.63351,0.27
1.1810498,0.37
0.23201054,0.23
0.49164,0.24
0.49105558,0.56
0.77312,0.7100000000000001
0.44285,0.56
0.33379,0.3
0.0382,0.3
0.56299,0.62
0.1448806,0.64
0.61609,0.43
0.7673,0.72
0.5793951,0.6
0.3499253,0.35
0.54758,0.59
0.07961485,0.19
0.0783,0.2
0.7488754,0.7100000000000001
0.63927,0.8400000000000001
0.12684374,0.7100000000000001
0.54618,0.6900000000000001
0.18509,0.28
0.078577995,0.42
0.12670553,0.41
0.0897,0.5
0.35069,0.32
0.5347413,0.64
0.55552,0.32
0.48849472,0.49
0.043842975,0.5800000000000001
0.39117,0.55
0.1132,0.16
0.77468,0.7100000000000001
0.48408,0.41
0.34969,0.66
0.560437,0.54
0.5137382,0.51
0.1548,0.61
0.1267192,0.23
0.5555,0.7100000000000001
0.4891354,0.53
0.49225694,0.52
0.4684244,0.39
0.15242842,0.43
0.2067,0.16
0.48417,0.35
0.20941,0.61
0.1039,0.12
0.20721179,0.38
0.38511,0.41
0.0639,0.64
0.10435035,0.23
0.11102678,0.72
0.082,0.17
0.14252405,0.13
0.1316,0.64
0.12720793,0.19
0.1318,0.0699999999999999
0.24742456,0.28
0.3266297,0.35
0.10378488,0.17
0.103926405,0.17
0.1049,0.7100000000000001
0.435361,0.38
0.12744643,0.55
0.611857,0.61
0.12763338,0.18
0.104193404,0.19
0.1033,0.5800000000000001
0.103680104,0.2
0.10388915,0.14
0.10946549,0.13
0.48300892,0.47
0.1864,0.26
0.6120851,0.6
0.057064667,0.17
0.3272118,0.43
0.35839453,0.37
0.081778,0.15
0.0807,0.08
0.3276606,0.34
0.08210495,0.02
0.0549,0.12
0.56966114,0.48
0.1269,0.13
0.1632,0.11
0.3293859,0.34
0.16396286,0.16
0.484024,0.46
0.5112724,0.56
0.4840664,0.5
0.07146075,0.09
0.35011387,0.37
0.3492529,0.35
0.23037294,0.33
0.1642,0.16
0.35477376,0.33
0.41111442,0.39
0.5134596,0.53
0.14244072,0.13
0.51418036,0.5
0.081968226,0.15
0.08234554,0.22
0.39708158,0.38
0.07512663,0.02
0.48318163,0.46
0.51570743,0.51
0.07907686,0.08
0.4834637,0.47
0.48703915,0.47
0.30816475,0.31
0.0824132,0.18
0.41659233,0.31
0.15466487,0.17
0.1302,0.08
0.40160203,0.41
0.076371,0.16
0.07414256,0.09
0.21955831,0.2
0.0536,0.08
0.07878932,0.0699999999999999
0.5743731,0.47
0.08307053,0.22
0.07501911,0.11
0.3689062,0.35
0.07601959,0.04
0.074384,0.02
0.55716056,0.53
0.0776982,0.01
0.07559948,0.0999999999999999
0.077856965,0.11
0.07982262,0.13
0.07504221,0.0999999999999999
0.072045974,0.16
0.36822715,0.37
0.07608543,0.09
0.074532524,0.08
0.36854225,0.37
0.07275737,0.15
0.072441705,0.19
0.07447351,0.11
0.07394695,0.11
0.075474754,0.0999999999999999
0.07475983,0.11
0.07649868,0.11
0.073395126,0.21
0.07423385,0.08
0.19179809,0.17
0.15368083,0.16
0.07281744,0.09
0.07193243,0.09
0.0741406,0.0999999999999999
0.5635322,0.5700000000000001
0.07712458,0.08
0.0724733,0.0999999999999999
0.57465214,0.56
0.071755625,0.06
0.07456692,0.06
0.077954,0.13
0.07449552,0.0999999999999999
0.07968934,0.09
0.4624659,0.42
0.46488774,0.45
0.073890835,0.12
0.07459915,0.0699999999999999
0.029646587,0.03
0.47365013,0.49
0.074180424,0.09
0.47390762,0.45
0.25950328,0.31
0.56847286,0.5
0.0728602,0.12
0.13434477,0.15
0.6497678,0.61
0.07491479,0.09
0.07284737,0.0999999999999999
0.0718631,0.21
0.04428266,0.08
0.2643049,0.28
0.035340473,0.0699999999999999
0.57631165,0.5800000000000001
0.0535976,0.01
0.4631824,0.46
0.034270544,0.02
0.45885527,0.46
0.26394385,0.28
0.5732693,0.53
0.52977705,0.53
0.65732884,0.54
0.36061236,0.5
0.46008873,0.45
0.34554076,0.35
0.23756,0.0999999999999999
0.67052,0.65
0.52778,0.46
0.46244,0.41
0.07329897,0.09
0.07516508,0.11
0.57377344,0.53
0.6515139,0.73
0.5748694,0.6
0.33573753,0.32
0.33622336,0.35
0.48682,0.53
0.57545,0.29
0.46583444,0.53
0.33644,0.3
0.5734,0.56
0.32304606,0.37
0.65535,0.63
0.46488,0.39
0.51976,0.43
0.5292267,0.51
0.52826816,0.5700000000000001
0.61865,0.52
0.6208,0.51
0.050139107,0.02
0.07566955,0.17
0.68157,0.63
0.6036427,0.51
0.36379,0.35
0.36803323,0.37
0.048185147,0.02
0.33169693,0.35
0.5789,0.26
0.25262,0.28
0.41991,0.41
0.07386022,0.11
0.62029,0.29
0.57643,0.47
0.46173,0.48
0.45945,0.56
0.36916798,0.29
0.29629,0.22
0.08172684,0.11
0.5025765,0.5
0.68116087,0.7100000000000001
0.45256,0.26
0.081640735,0.09
0.081414856,0.13
0.51221,0.24
0.51586926,0.51
0.5025,0.41
0.99449,0.7100000000000001
0.86805,0.75
0.06824222,0.62
0.47892332,0.49
1.05289,0.54
0.43295,0.5700000000000001
0.69239,0.6
0.5217942,0.46
0.3688409,0.37
0.5017367,0.49
0.58758,0.17
0.53557,0.27
0.075140424,0.17
0.71724,0.22
0.50224054,0.49
0.49955115,0.47
0.14229088,0.16
0.17937717,0.27
0.14219522,0.16
0.08253,0.13
0.36987716,0.48
0.82323,0.98
0.79361,0.99
0.43613,0.36
0.33107,0.51
0.79531,0.7100000000000001
0.14262101,0.18
0.1416738,0.17
0.6189033,0.63
0.46939,0.18
0.082123995,0.15
0.45693025,0.48
0.55367,0.5700000000000001
0.45710072,0.45
0.18810894,0.61
0.55736,0.51
0.02937492,0.31
0.53179,0.48
0.64558,0.5800000000000001
0.24922,0.17
0.040691596,0.12
0.51415,0.25
0.7071127,0.8300000000000001
0.30488,0.22
0.7807,0.74
0.12922516,0.3
0.17926544,0.06
0.24941,0.22
0.068965584,0.25
0.3728329,0.5
0.70702,0.59
0.30529293,0.43
0.12644057,0.18
0.082728274,0.2
0.66678,0.7000000000000001
0.44192,0.41
0.3368,0.22
0.33688137,0.88
0.0907,0.46
0.32371107,0.34
0.0907,0.47
0.6404978,0.67
0.44238198,0.39
0.62482,0.65
0.82915,0.8
0.20495,0.26
0.73763,0.74
0.1418571,0.0999999999999999
0.0597,0.25
0.1145,0.13
0.114,0.14
0.14269505,0.17
0.15801622,0.26
0.56362,0.48
0.14094278,0.27
0.83284,0.8300000000000001
0.56295,0.18
